,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-11-08,364.226412306178,319.82666710844137,405.1583243909329,364.226412306178,364.226412306178,-1.651549948597723,-1.651549948597723,-1.651549948597723,-1.651549948597723,-1.651549948597723,-1.651549948597723,0.0,0.0,0.0,362.5748623575803
1,2021-11-09,363.7911281347152,316.0207851804981,397.5143264286021,363.7911281347152,363.7911281347152,-4.123814158381007,-4.123814158381007,-4.123814158381007,-4.123814158381007,-4.123814158381007,-4.123814158381007,0.0,0.0,0.0,359.66731397633424
2,2021-11-10,363.35584396325254,321.0746184500369,402.2822346792853,363.35584396325254,363.35584396325254,-2.9494240289777047,-2.9494240289777047,-2.9494240289777047,-2.9494240289777047,-2.9494240289777047,-2.9494240289777047,0.0,0.0,0.0,360.4064199342748
3,2021-11-11,362.92055979178974,312.95823409203757,397.94974782637144,362.92055979178974,362.92055979178974,-5.917434928116245,-5.917434928116245,-5.917434928116245,-5.917434928116245,-5.917434928116245,-5.917434928116245,0.0,0.0,0.0,357.0031248636735
4,2021-11-12,362.485275620327,312.82895152673296,395.3904068396872,362.485275620327,362.485275620327,-8.501342042850764,-8.501342042850764,-8.501342042850764,-8.501342042850764,-8.501342042850764,-8.501342042850764,0.0,0.0,0.0,353.98393357747625
5,2021-11-15,361.1794231059387,316.39718618155604,404.0056369690053,361.1794231059387,361.1794231059387,-1.6515499485607843,-1.6515499485607843,-1.6515499485607843,-1.6515499485607843,-1.6515499485607843,-1.6515499485607843,0.0,0.0,0.0,359.52787315737794
6,2021-11-16,360.7441389344759,312.6891711307519,395.07066810450345,360.7441389344759,360.7441389344759,-4.123814158374694,-4.123814158374694,-4.123814158374694,-4.123814158374694,-4.123814158374694,-4.123814158374694,0.0,0.0,0.0,356.62032477610126
7,2021-11-17,360.3088547630132,317.50840596242574,398.2731012166386,360.3088547630132,360.3088547630132,-2.9494240289809337,-2.9494240289809337,-2.9494240289809337,-2.9494240289809337,-2.9494240289809337,-2.9494240289809337,0.0,0.0,0.0,357.35943073403223
8,2021-11-18,359.87357059155045,310.27831066730437,395.41847095584166,359.87357059155045,359.87357059155045,-5.917434928117046,-5.917434928117046,-5.917434928117046,-5.917434928117046,-5.917434928117046,-5.917434928117046,0.0,0.0,0.0,353.95613566343343
9,2021-11-19,359.43828641286416,308.2115718996505,394.1918284806881,359.43828641286416,359.43828641286416,-8.501342042844156,-8.501342042844156,-8.501342042844156,-8.501342042844156,-8.501342042844156,-8.501342042844156,0.0,0.0,0.0,350.93694437002
10,2021-11-22,358.13243387680524,312.14484569626217,397.93912259167826,358.13243387680524,358.13243387680524,-1.6515499485583822,-1.6515499485583822,-1.6515499485583822,-1.6515499485583822,-1.6515499485583822,-1.6515499485583822,0.0,0.0,0.0,356.48088392824684
11,2021-11-23,357.69714969811895,315.33611521068747,394.1165536992237,357.69714969811895,357.69714969811895,-4.12381415836838,-4.12381415836838,-4.12381415836838,-4.12381415836838,-4.12381415836838,-4.12381415836838,0.0,0.0,0.0,353.5733355397506
12,2021-11-24,357.26186551943266,310.82620717201394,397.4009339795181,357.26186551943266,357.26186551943266,-2.949424028974648,-2.949424028974648,-2.949424028974648,-2.949424028974648,-2.949424028974648,-2.949424028974648,0.0,0.0,0.0,354.312441490458
13,2021-11-26,356.39129716206,307.2865042235358,387.78092825575715,356.39129716206,356.39129716206,-8.501342042883104,-8.501342042883104,-8.501342042883104,-8.501342042883104,-8.501342042883104,-8.501342042883104,0.0,0.0,0.0,347.88995511917693
